"filename", "language", "Markdown", "JSON", "JavaScript", "YAML", "Ignore", "TypeScript", "XML", "TypeScript JSX", "JSON with Comments", "PostCSS", "Groovy", "Docker", "HTML", "comment", "blank", "total"
"e:\Projects\Nextjs-projects\icstudio\README.md", "Markdown", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 31
"e:\Projects\Nextjs-projects\icstudio\icstudio\.VSCodeCounter\2025-04-01_18-48-14\details.md", "Markdown", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 103
"e:\Projects\Nextjs-projects\icstudio\icstudio\.VSCodeCounter\2025-04-01_18-48-14\diff-details.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"e:\Projects\Nextjs-projects\icstudio\icstudio\.VSCodeCounter\2025-04-01_18-48-14\diff.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"e:\Projects\Nextjs-projects\icstudio\icstudio\.VSCodeCounter\2025-04-01_18-48-14\results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Projects\Nextjs-projects\icstudio\icstudio\.VSCodeCounter\2025-04-01_18-48-14\results.md", "Markdown", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 73
"e:\Projects\Nextjs-projects\icstudio\icstudio\.prettierignore", "Ignore", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3
"e:\Projects\Nextjs-projects\icstudio\icstudio\.prettierrc", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\Projects\Nextjs-projects\icstudio\icstudio\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 14, 14, 48
"e:\Projects\Nextjs-projects\icstudio\icstudio\Jenkinsfile", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 8, 13, 113
"e:\Projects\Nextjs-projects\icstudio\icstudio\README.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"e:\Projects\Nextjs-projects\icstudio\icstudio\components.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"e:\Projects\Nextjs-projects\icstudio\icstudio\docker-compose.yml", "YAML", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"e:\Projects\Nextjs-projects\icstudio\icstudio\eslint.config.mjs", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"e:\Projects\Nextjs-projects\icstudio\icstudio\next.config.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"e:\Projects\Nextjs-projects\icstudio\icstudio\package-lock.json", "JSON", 0, 5757, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5758
"e:\Projects\Nextjs-projects\icstudio\icstudio\package.json", "JSON", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 83
"e:\Projects\Nextjs-projects\icstudio\icstudio\pnpm-lock.yaml", "YAML", 0, 0, 0, 4653, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1104, 5757
"e:\Projects\Nextjs-projects\icstudio\icstudio\postcss.config.mjs", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"e:\Projects\Nextjs-projects\icstudio\icstudio\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Projects\Nextjs-projects\icstudio\icstudio\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Projects\Nextjs-projects\icstudio\icstudio\public\logo\logo-t.svg", "XML", 0, 0, 0, 0, 0, 0, 536, 0, 0, 0, 0, 0, 0, 0, 1, 537
"e:\Projects\Nextjs-projects\icstudio\icstudio\public\logo\loome-b-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 1, 92
"e:\Projects\Nextjs-projects\icstudio\icstudio\public\logo\loome-w-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 993, 0, 0, 0, 0, 0, 0, 0, 1, 994
"e:\Projects\Nextjs-projects\icstudio\icstudio\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Projects\Nextjs-projects\icstudio\icstudio\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Projects\Nextjs-projects\icstudio\icstudio\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\(auth)\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 2, 17, 163
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\(auth)\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 262, 0, 0, 0, 0, 0, 2, 26, 290
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\admin\invite\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 5, 9, 164
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\admin\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 2, 11
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\api\about\route.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\api\admin\invite\route.ts", "TypeScript", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 6, 21, 151
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 6, 14, 127
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\api\auth\login\route.ts", "TypeScript", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 5, 12, 96
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\api\auth\register\route.ts", "TypeScript", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 7, 15, 120
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\api\auth\session\route.ts", "TypeScript", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 4, 14, 93
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\api\auth\update-profile\route.ts", "TypeScript", 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 10, 17, 159
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\api\auth\upload-avatar\route.ts", "TypeScript", 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 11, 18, 152
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\api\auth\user\route.ts", "TypeScript", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 3, 15, 112
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\api\auth\verify-code\route.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 6, 7, 46
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 6, 123
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\home\aboutus\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 3, 14, 146
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\home\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\home\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 9, 10, 98
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\home\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 847, 0, 0, 0, 0, 0, 36, 81, 964
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 6, 50
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\loome\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\loome\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 3, 10
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\app\providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\3d-marquee.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 3, 45
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\admin\admin-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 7, 54
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\admin\header\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\admin\header\notification-dropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 1, 2, 40
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\admin\header\user-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 3, 51
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\admin\sidebar\desktop-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 4, 43
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\admin\sidebar\mobile-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\admin\sidebar\nav-link.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 4, 41
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\loome\loome-nav-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 1, 8, 136
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\loome\loome-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 0, 7, 17, 316
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\team\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\layout\team\team-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\magicui\magic-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 12, 109
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\magicui\shine-border.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 17, 5, 62
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\mailbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 5, 6, 81
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\main-page\hero-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 267, 0, 0, 0, 0, 0, 0, 32, 299
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\main-page\self-introduce.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\mobile-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 1, 8, 140
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 304, 0, 0, 0, 0, 0, 11, 19, 334
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\profile-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 12, 17, 189
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\providers\NextAuthProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\starry-background.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 6, 16, 77
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\theme-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 5, 35
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\3d-marquee.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 1, 4, 143
"e:\Projects\Nextjs-projects\icstudio\icstudio\src\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 6, 59
