"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\next.config.ts", "TypeScript", 0, 9, 0, 0, 9
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\home\_sections\projects-section.tsx", "TypeScript JSX", -71, 0, 56, -4, -19
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\projects\data.ts", "TypeScript", 0, 80, 0, 2, 82
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\projects\featured-project.tsx", "TypeScript JSX", 47, 0, 0, 7, 54
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\projects\page.tsx", "TypeScript JSX", 8, 0, 0, 2, 10
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\projects\project-category.tsx", "TypeScript JSX", 32, 0, 0, 5, 37
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\projects\project-section.tsx", "TypeScript JSX", 128, 0, 7, 14, 149
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\what-we-do\page.tsx", "TypeScript JSX", 2, 0, 0, 0, 2
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\what-we-do\sections\data.ts", "TypeScript", 0, 46, 0, 3, 49
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\what-we-do\sections\service-card.tsx", "TypeScript JSX", 32, 0, 0, 5, 37
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\app\(home)\what-we-do\sections\what-we-do.tsx", "TypeScript JSX", 67, 0, 1, 7, 75
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\bg\square-bg.tsx", "TypeScript JSX", 145, 0, 0, 27, 172
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\ui\3d-card.tsx", "TypeScript JSX", 141, 0, 1, 14, 156
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\ui\badge.tsx", "TypeScript JSX", 24, 0, 0, 6, 30
"Total", "-", 555, 135, 65, 88, 843